Key,Value
article.cta.title,Subscribe to our Newsletter
article.cta.subtitle,Get your weekly recap of the latest search news, advice, and trends
article.cta.btn,Subscribe
article.posted.by,By:
categories.grid.heading,All Categories
products.grid.heading,All Products
cart.sidebar_heading,Shopping Cart
